Year,Type,Location,Landings in lb,Dollar Value,Number of Trips
2003,BROWN SHRIMP,MISSISSIPPI RIVER BASIN,"1,840,027",1654417,"1,557"
2003,BROWN SHRIMP,TERREBONNE BASIN,"11,014,375",8177046,"10,543"
2004,BROWN SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"350,503",277367,166
2004,BROWN SHRIMP,BARATARIA BASIN,"15,820,346",9122824,"10,266"
2004,BROWN SHRIMP,CALCASIEU RIVER BASIN,"305,700",165661,916
2004,BROWN SHRIMP,LAKE PONTCHARTRAIN BASIN,"7,259,858",4766920,"3,485"
2004,BROWN SHRIMP,LOUISIANA GRID 13,"6,555,237",4989333,"1,409"
2004,BROWN SHRIMP,LOUISIANA GRID 14,"6,668,262",7337225,"1,174"
2004,BROWN SHRIMP,LOUISIANA GRID 15,"4,391,062",4040371,527
2004,BROWN SHRIMP,LOUISIANA GRID 16,"1,821,270",1847001,182
2004,BROWN SHRIMP,MISSISSIPPI RIVER BASIN,"2,232,052",1652218,"1,593"
2004,BROWN SHRIMP,TERREBONNE BASIN,"9,964,123",6196848,"8,510"
2005,BROWN SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"697,243",643380,343
2005,BROWN SHRIMP,BARATARIA BASIN,"12,753,314",11619564,"9,971"
2005,BROWN SHRIMP,CALCASIEU RIVER BASIN,"933,440",650644,"1,339"
2005,BROWN SHRIMP,LAKE PONTCHARTRAIN BASIN,"2,552,685",2766116,"1,907"
2005,BROWN SHRIMP,LOUISIANA GRID 13,"3,814,203",4499694,791
2005,BROWN SHRIMP,LOUISIANA GRID 14,"4,297,492",5931885,818
2005,BROWN SHRIMP,LOUISIANA GRID 15,"3,355,080",4241534,422
2005,BROWN SHRIMP,LOUISIANA GRID 16,"925,958",1111160,130
2005,BROWN SHRIMP,MISSISSIPPI RIVER BASIN,"1,959,110",2101534,"1,490"
2005,BROWN SHRIMP,TERREBONNE BASIN,"7,198,093",6942165,"7,895"
2006,BROWN SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"260,808",211941,183
2006,BROWN SHRIMP,BARATARIA BASIN,"17,579,558",12251155,"7,996"
2006,BROWN SHRIMP,CALCASIEU RIVER BASIN,"1,277,904",955921,"1,884"
2006,BROWN SHRIMP,LAKE PONTCHARTRAIN BASIN,"2,021,721",1748017,"1,446"
2006,BROWN SHRIMP,LOUISIANA GRID 13,"3,431,425",3231385,471
2006,BROWN SHRIMP,LOUISIANA GRID 14,"5,099,341",5705759,565
2006,BROWN SHRIMP,LOUISIANA GRID 15,"4,616,732",4286252,523
2006,BROWN SHRIMP,LOUISIANA GRID 16,"502,427",423232,86
2006,BROWN SHRIMP,MISSISSIPPI RIVER BASIN,"2,132,555",1815749,990
2006,BROWN SHRIMP,TERREBONNE BASIN,"10,954,511",8123670,"8,945"
2007,BROWN SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"230,874",229995,122
2007,BROWN SHRIMP,BARATARIA BASIN,"17,972,034",16468827,"9,040"
2007,BROWN SHRIMP,CALCASIEU RIVER BASIN,"2,203,291",1492887,"2,311"
2007,BROWN SHRIMP,LAKE PONTCHARTRAIN BASIN,"3,598,704",3822517,"2,582"
